stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
AA010,8767,"SUSSEX / CHUTE RIDEAU FALLS",,  45.439869, -75.695839,,,,,,
AA020,6859,"SUSSEX / CHUTE RIDEAU FALLS",,  45.439571, -75.695694,,,,,,
AA030,7001,"SUSSEX / ALEXANDER",,  45.442860, -75.693565,,,,,,
AA035,8762,"JOHN / THOMAS",,  45.442795, -75.692322,,,,,,
AA040,7000,"JOHN / SUSSEX",,  45.442554, -75.693504,,,,,,
AA050,7002,"ALEXANDER / CHARLES",,  45.442532, -75.691505,,,,,,
AA060,8766,"CRICHTON / CHARLES",,  45.442223, -75.691216,,,,,,
AA070,7003,"CRICHTON / UNION",,  45.441673, -75.689964,,,,,,
AA080,7005,"CRICHTON / UNION",,  45.441708, -75.689529,,,,,,
AA090,7004,"CRICHTON / VICTORIA",,  45.441139, -75.688271,,,,,,
AA100,7006,"CRICHTON / VICTORIA",,  45.441162, -75.687935,,,,,,
AA110,7007,"CRICHTON / KEEFER",,  45.440731, -75.686615,,,,,,
AA120,8763,"CRICHTON / KEEFER",,  45.440338, -75.685699,,,,,,
AA130,7008,"CRICHTON / DUFFERIN",,  45.439579, -75.682983,,,,,,
AA140,8765,"CRICHTON / THE MEWS",,  45.439640, -75.682640,,,,,,
AA150,7010,"CRICHTON / ELECTRIC",,  45.439083, -75.679955,,,,,,
AA160,7009,"CRICHTON / ELECTRIC",,  45.438885, -75.679878,,,,,,
AA170,8764,"CRICHTON / BEECHWOOD",,  45.438576, -75.678413,,,,,,
AA180,7011,"CRICHTON / BEECHWOOD",,  45.438766, -75.678535,,,,,,
AA190,8792,"BEECHWOOD / CRICHTON",,  45.438652, -75.677620,,,,,,
AA200,8793,"BEECHWOOD / CHARLEVOIX",,  45.438988, -75.677078,,,,,,
AA210,8922,"BEECHWOOD / MACKAY",,  45.439556, -75.676849,,,,,,
AA220,8794,"BEECHWOOD / LOYER",,  45.440006, -75.675697,,,,,,
AA230,8795,"BEECHWOOD / ST CHARLES",,  45.441257, -75.673248,,,,,,
AA240,8790,"BEECHWOOD / ST CHARLES",,  45.441147, -75.674057,,,,,,
AA250,7012,"BEECHWOOD / MARIER",,  45.441982, -75.671677,,,,,,
AA260,7015,"BEECHWOOD / ACACIA",,  45.442188, -75.671562,,,,,,
AA270,7013,"BEECHWOOD / MARQUETTE",,  45.443584, -75.670441,,,,,,
AA280,8797,"BEECHWOOD / CORONA",,  45.444061, -75.670532,,,,,,
AA290,7014,"BEECHWOOD / CORONA",,  45.444645, -75.670105,,,,,,
AA300,7016,"BEECHWOOD / JULIANA",,  45.445854, -75.669502,,,,,,
AA310,8796,"BEECHWOOD / JULIANA",,  45.445889, -75.669182,,,,,,
AA320,7017,"HEMLOCK / LANSDOWNE",,  45.447628, -75.668449,,,,,,
AA325,7018,"HEMLOCK / WHITEMARL",,  45.448833, -75.665802,,,,,,
AA330,7019,"HEMLOCK / LANSDOWNE",,  45.447590, -75.668083,,,,,,
AA335,7020,"HEMLOCK / WHITEMARL",,  45.448765, -75.665031,,,,,,
AA340,8788,"SPRINGFIELD / BEECHWOOD",,  45.440071, -75.676292,,,,,,
AA350,7021,"SPRINGFIELD / PUTMAN",,  45.441841, -75.676804,,,,,,
AA360,7022,"SPRINGFIELD / RIDEAU",,  45.443668, -75.677185,,,,,,
AA370,7023,"SPRINGFIELD / LINDENLEA",,  45.444904, -75.677437,,,,,,
AA380,8789,"MAPLE LANE / SPRINGFIELD",,  45.446320, -75.677597,,,,,,
AA390,7024,"MAPLE LANE / ELMDALE",,  45.446541, -75.674881,,,,,,
AA400,7025,"MAPLE LANE / ACACIA",,  45.446701, -75.673134,,,,,,
AA410,7026,"ACACIA / RIDEAU TERRACE",,  45.444561, -75.672432,,,,,,
AB065,7263,"MARIER / BARRETTE",,  45.441906, -75.670959,,,,,,
AB070,7029,"MARIER / GENEST",,  45.441189, -75.669060,,,,,,
AB075,7264,"MARIER / GENEST",,  45.441048, -75.669083,,,,,,
AB100,8752,"DES PÈRES BLANCS / MARIER",,  45.440041, -75.665710,,,,,,
AB110,8995,"DES PÈRES BLANCS / MARIER",,  45.440163, -75.665367,,,,,,
AB120,7034,"DES PÈRES BLANCS / MARQUETTE",,  45.440853, -75.664574,,,,,,
AB130,7035,"DES PÈRES BLANCS / LONGPRÉ",,  45.440781, -75.664528,,,,,,
AB185,0839,"DES PÈRES BLANCS / LEBRUN",,  45.442703, -75.661797,,,,,,
AB195,1890,"DES PÈRES BLANCS / LEBRUN",,  45.442322, -75.662582,,,,,,
AB200,7040,"DES PÈRES BLANCS / AD. 300",,  45.444321, -75.660179,,,,,,
AB290,1545,"GRANVILLE / MONTRÉAL",,  45.438190, -75.656242,,,,,,
AB300,8749,"ALFRED / MONTREAL",,  45.438850, -75.654579,,,,,,
AB310,7046,"MONTFORT / ALFRED",,  45.439438, -75.656059,,,,,,
AB320,1544,"MONTFORT / GRANVILLE",,  45.439110, -75.656685,,,,,,
AB330,8745,"MONTFORT / STE ANNE",,  45.439110, -75.658913,,,,,,
AB340,8747,"MONTFORT / STE ANNE",,  45.438931, -75.659218,,,,,,
AB350,7049,"MONTFORT / BRADLEY",,  45.438835, -75.660973,,,,,,
AB360,7047,"MONTFORT / PARK",,  45.438904, -75.661392,,,,,,
AB370,7048,"MONTFORT / MARIER",,  45.438797, -75.663010,,,,,,
AB380,7050,"MARIER / MONTFORT",,  45.438873, -75.663399,,,,,,
AB450,8944,"VANIER / PATHWAY  - SENTIER",,  45.437737, -75.674057,,,,,,
AB455,1398,"VANIER / PATHWAY  - SENTIER",,  45.437420, -75.673866,,,,,,
AB456,6579,"VANIER / MEILLEUR",,  45.437347, -75.671478,,,,,,
AB458,6580,"VANIER / MEILLEUR",,  45.437115, -75.671593,,,,,,
